Time,Region,u10,v10,t2m
2019-08-14,N. PIERIAS,-2.1623373,1.9191618,302.6139
2019-08-15,N. PIERIAS,-0.081282616,-0.3880825,297.64294
2019-08-16,N. PIERIAS,-1.5196123,1.4628763,298.79858
2019-08-17,N. PIERIAS,-1.6315212,1.2977037,298.66882
2019-08-18,N. PIERIAS,-2.1757107,2.2166395,299.11963
2019-08-19,N. PIERIAS,-2.0459538,1.7372046,299.84778
2019-08-20,N. PIERIAS,-1.9416695,2.0924873,300.19067
2019-08-21,N. PIERIAS,-1.7752275,1.3884506,301.568
2019-08-22,N. PIERIAS,-0.9815483,0.7235117,303.47693
2019-08-23,N. PIERIAS,-1.2748632,1.0652342,303.5315
2019-08-24,N. PIERIAS,-1.3889599,0.9911442,303.1482
2019-08-25,N. PIERIAS,-1.4196854,1.5088549,303.51074
2019-08-26,N. PIERIAS,-1.1113014,0.4368925,302.8578
2019-08-27,N. PIERIAS,-1.6439667,1.5491114,301.58154
2019-08-28,N. PIERIAS,-1.4125032,1.5814819,301.7838
2019-08-29,N. PIERIAS,-2.1890345,2.3449469,301.65283
2019-08-30,N. PIERIAS,-1.6862249,1.9404888,301.45618
2019-08-31,N. PIERIAS,-1.9766407,2.1363697,300.43103
2019-09-01,N. PIERIAS,-1.8893061,2.0091925,299.96252
2019-09-02,N. PIERIAS,-1.8644705,2.3944483,300.29272
2019-09-03,N. PIERIAS,-1.7757015,2.0639668,300.4558
2019-09-04,N. PIERIAS,-1.1410942,0.5123615,300.97388
2019-09-05,N. PIERIAS,-1.4080629,1.9000158,298.87122
2019-09-06,N. PIERIAS,-1.765871,2.6621218,298.0011
2019-09-07,N. PIERIAS,-1.8003798,1.8828087,297.48206
2019-09-08,N. PIERIAS,-1.8972168,2.2061129,298.12256
2019-09-09,N. PIERIAS,-1.6701698,2.430849,296.95337
2019-09-10,N. PIERIAS,-1.891634,1.574131,295.88806
2019-09-11,N. PIERIAS,-1.582387,1.8595238,297.79858
2019-09-12,N. PIERIAS,-1.4022532,1.2867107,298.18494
2019-09-13,N. PIERIAS,-0.5467291,-1.8408518,299.5968
2019-09-14,N. PIERIAS,-0.3689804,-1.2756844,300.22778
2019-09-15,N. PIERIAS,-1.6430521,1.3211069,298.88464
2019-09-16,N. PIERIAS,-1.839427,1.8361683,298.89514
2019-09-17,N. PIERIAS,-1.6928968,2.278843,300.44885
2019-09-18,N. PIERIAS,-1.244607,0.8618622,299.96704
2019-09-19,N. PIERIAS,-1.1068239,1.7333574,293.68115
2019-09-20,N. PIERIAS,-1.6574755,-0.17196083,291.79297
2019-09-21,N. PIERIAS,-1.3479052,2.0298624,291.54956
2019-09-22,N. PIERIAS,-1.8006563,1.8915062,294.15234
2019-09-23,N. PIERIAS,-1.2960691,1.8181467,295.93323
2019-09-24,N. PIERIAS,-0.3115034,0.4206419,291.56018
2019-09-25,N. PIERIAS,-1.8154488,1.9925871,295.28296
2019-09-26,N. PIERIAS,-0.9675503,0.8423462,297.21265
2019-09-27,N. PIERIAS,-1.3068943,-0.7585783,296.4917
2019-09-28,N. PIERIAS,-1.6385784,1.5807428,296.68164
2019-09-29,N. PIERIAS,-1.6234388,1.8921003,297.42615
2019-09-30,N. PIERIAS,-0.9133673,0.7981663,297.86536
2019-10-01,N. PIERIAS,-1.4377947,1.2489052,297.3186
2019-10-02,N. PIERIAS,-1.4874849,1.8987818,296.812
2019-10-03,N. PIERIAS,0.5029316,2.5338297,293.99084
2019-10-04,N. PIERIAS,0.55053425,-2.4939184,290.86865
